,alt,time,fuel,climb_time,cruise_gs,cruise_time,desc_time,winds_dir,winds_spd,time_cost,fuel_cost,total_cost,dept,arrv,dist,course,RAMP,max_tankering_fuel
0,90.00,9.16,120.86,3.76,305.48,1.00,4.40,238.00,15.00,122.10,140.20,262.30,CHA,KRMG,41.16,176.88,5228.65,77.08
1,220.00,21.82,235.77,10.92,316.24,0.00,10.90,238.00,36.43,290.86,273.49,564.35,CHA,KASN,97.52,205.77,5343.65,77.08
2,300.00,39.60,383.08,16.80,346.76,8.00,14.80,252.00,44.50,527.87,444.37,972.24,CHA,11A,189.77,184.34,5491.65,77.08
3,350.00,74.20,634.19,21.90,378.38,35.00,17.30,266.00,44.00,989.09,735.66,1724.75,CHA,KINF,401.96,157.77,5742.65,42.51
4,370.00,141.48,1084.18,25.18,365.49,98.00,18.30,266.00,38.50,1885.93,1257.65,3143.58,CHA,MUSC,802.00,158.49,6192.65,0.00
5,90.00,9.16,122.00,3.76,325.42,1.00,4.40,238.00,15.00,122.10,141.52,263.62,CHA,K1A3,42.15,91.34,5230.65,77.08
6,130.00,20.10,252.48,5.70,343.99,8.00,6.40,238.00,19.44,267.93,292.88,560.81,CHA,K24A,99.32,79.61,5360.65,77.08
7,250.00,39.30,413.85,12.90,401.18,14.00,12.40,238.00,45.00,523.87,480.07,1003.93,CHA,KCLT,209.20,85.84,5521.65,75.16
8,350.00,71.20,611.02,21.90,410.99,32.00,17.30,266.00,44.00,949.10,708.78,1657.88,CHA,KEWN,401.00,87.33,5719.65,45.91
9,350.00,164.20,1337.86,21.90,410.63,125.00,17.30,266.00,44.00,2188.79,1551.92,3740.70,CHA,TXKF,1035.83,93.06,6445.65,0.00
10,110.00,12.10,153.27,4.70,332.31,2.00,5.40,238.00,17.22,161.29,177.79,339.09,CHA,KCSV,55.30,6.00,5261.65,77.08
11,210.00,23.66,258.93,10.26,363.74,3.00,10.40,238.00,33.57,315.39,300.36,615.75,CHA,KEKQ,110.57,8.69,5366.65,77.08
12,260.00,37.58,388.02,13.68,376.92,11.00,12.90,240.80,44.90,500.94,450.10,951.04,CHA,KSDF,190.19,352.40,5496.65,77.08
13,400.00,79.90,603.28,30.10,336.01,30.00,19.80,266.00,30.25,1065.07,699.80,1764.87,CHA,KSBN,404.05,352.89,5711.65,47.09
14,390.00,141.76,1011.76,28.46,348.57,94.00,19.30,266.00,33.00,1889.66,1173.64,3063.30,CHA,CYLD,772.08,5.61,6119.65,0.00
15,60.00,7.44,111.63,2.44,287.01,2.00,3.00,238.00,7.50,99.18,129.49,228.67,CHA,KUOS,35.59,286.85,5219.65,77.08
16,220.00,22.82,243.99,10.92,318.66,1.00,10.90,238.00,36.43,304.19,283.03,587.22,CHA,K2M2,101.56,277.35,5351.65,77.08
17,400.00,49.90,420.88,30.10,308.88,0.00,19.80,266.00,30.25,665.17,488.22,1153.39,CHA,KMEM,234.60,271.48,5528.65,74.12
18,400.00,78.90,599.92,30.10,309.04,29.00,19.80,266.00,30.25,1051.74,695.91,1747.64,CHA,KRUE,387.45,274.26,5707.65,47.68
19,400.00,160.90,1094.09,30.10,309.13,111.00,19.80,266.00,30.25,2144.80,1269.14,3413.94,CHA,KAMA,809.49,275.55,6202.65,0.00
20,400.00,191.90,1280.77,30.10,311.55,142.00,19.80,266.00,30.25,2558.03,1485.69,4043.72,CHA,KAPA,974.67,292.02,6388.65,0.00
21,260.00,31.58,321.15,13.68,335.91,5.00,12.90,240.80,44.90,420.96,372.53,793.50,CHA,KAUO,145.76,184.58,5429.65,77.08
