,Alt,Month,Dir,Spd
3,9000,Apr,278,18
15,18000,Apr,278,28
27,25000,Apr,278,48
39,35000,Apr,287,44
7,9000,Aug,309,9
19,18000,Aug,309,19
31,25000,Aug,309,39
43,35000,Aug,240,15
11,9000,Dec,300,15
23,18000,Dec,300,25
35,25000,Dec,300,45
47,35000,Dec,270,60
1,9000,Feb,265,28
13,18000,Feb,265,41
25,25000,Feb,265,71
37,35000,Feb,264,100
0,9000,Jan,250,35
12,18000,Jan,250,50
24,25000,Jan,250,70
36,35000,Jan,289,79
6,9000,Jul,276,12
18,18000,Jul,276,22
30,25000,Jul,276,42
42,35000,Jul,240,15
5,9000,Jun,251,13
17,18000,Jun,251,23
29,25000,Jun,251,43
41,35000,Jun,250,5
2,9000,Mar,262,25
14,18000,Mar,262,37
26,25000,Mar,262,67
38,35000,Mar,261,80
4,9000,May,238,15
16,18000,May,238,25
28,25000,May,238,45
40,35000,May,266,44
10,9000,Nov,290,12
22,18000,Nov,290,22
34,25000,Nov,290,42
46,35000,Nov,270,60
9,9000,Oct,280,10
21,18000,Oct,280,20
33,25000,Oct,280,42
45,35000,Oct,280,40
8,9000,Sep,310,9
20,18000,Sep,310,19
32,25000,Sep,310,39
44,35000,Sep,240,15
